route_id,aadt,year_recorded,slat,slon,elat,elon
1340146,1300,2023,-72.31701732,41.95027117,-72.3178923,41.95359182
1350038,11300,2023,-73.53930619,41.04810985,-73.54002629,41.04487489
1350045,2000,2023,-73.54068046,41.05320072,-73.53943798,41.05251472
1350177,1400,2023,-73.56781611,41.12726317,-73.55831543,41.13062664
1350388,7400,2023,-73.54807241,41.04027191,-73.54659941,41.0505181
1350393,17600,2023,-73.53377318,41.05533088,-73.53367576,41.06025253
140-E,8900,2023,-72.51373312,41.93769979,-72.50553385,41.92388812
140-E,1100,2023,-72.34063832,41.93768486,-72.31195336,41.95156495
1350795,1100,2023,-73.57514401,41.16073385,-73.59565793,41.15808587
1350827,2200,2023,-73.55839229,41.13392992,-73.55856679,41.13785155
1350887,10300,2023,-73.54918244,41.05223785,-73.55772572,41.0564355
1350888,14900,2023,-73.55772572,41.0564355,-73.55992792,41.05876645
1350892,17800,2023,-73.53367576,41.06025253,-73.53413082,41.07329939
1350897,12400,2023,-73.54928979,41.07165919,-73.53998535,41.05916275
1350930,150,2023,-73.58489408,41.12266089,-73.58455589,41.12509884
1351005,3300,2023,-73.50337772,41.04898662,-73.50794419,41.0607715
1351009,3900,2023,-73.52643292,41.0618725,-73.52819262,41.06193689
1351162,13900,2023,-73.54928979,41.07165919,-73.54903534,41.0730736
136-N,6900,2023,-73.46831806,41.07712838,-73.46557599,41.07689126
136-N,10400,2023,-73.44711012,41.07272321,-73.44537677,41.07157551
136-N,9000,2023,-73.44537677,41.07157551,-73.44341631,41.06888883
136-N,3100,2023,-73.44084365,41.06491948,-73.43690465,41.06414148
136-N,5400,2023,-73.41688955,41.09145586,-73.41489531,41.09205254
136-N,4500,2023,-73.37438937,41.11926773,-73.37293312,41.11973208
136-N,12400,2023,-73.37029399,41.12244237,-73.3665369,41.12331681
136-N,5800,2023,-73.36134911,41.12208316,-73.3531425,41.14043999
136-N,6400,2023,-73.3400776,41.18822104,-73.33741489,41.19320934
137-N,16000,2023,-73.54629388,41.11263177,-73.54610809,41.11326443
137-N,15200,2023,-73.54524825,41.11614296,-73.54452027,41.1227907
137-N,12300,2023,-73.54452027,41.1227907,-73.54447501,41.1254562
137-N,4000,2023,-73.56348029,41.16897093,-73.56484161,41.17540327
1370193,800,2023,-71.93146554,41.36605086,-71.91845578,41.36939205
1370244,6600,2023,-71.90436567,41.37732764,-71.900177,41.39139652
1370301,1800,2023,-71.93146554,41.36605086,-71.92167253,41.36122341
1370329,600,2023,-71.8399727,41.33577751,-71.83780096,41.35159974
1370329,2200,2023,-71.83780096,41.35159974,-71.83876952,41.36342822
